Player_ID,Team,Total_Distance_m,Avg_Speed_kmh,Avg_Moving_Speed_kmh,Max_Speed_kmh
0,Team2,89.53,13.87,16.57,34.62
1,Team2,117.32,15.55,17.28,34.80
2,Unassigned,0.22,2.78,9.75,15.39
3,Team2,70.64,16.06,20.11,34.99
4,Team2,62.09,13.18,15.35,34.99
5,Team2,38.05,16.31,16.70,34.10
6,Team2,67.22,14.17,16.47,34.72
7,Team1,49.69,11.56,13.11,33.79
8,Team2,91.94,15.32,18.63,34.94
9,Team1,14.93,20.05,20.99,34.54
10,Team2,90.66,14.02,14.26,33.67
11,Team1,76.40,14.24,17.11,34.56
12,Team1,81.55,12.34,14.08,34.95
13,Team1,40.28,12.55,19.59,34.79
14,Team1,4.29,7.56,16.77,31.50
15,Team1,59.15,14.23,17.23,34.96
16,Team2,19.72,18.88,19.94,31.83
17,Team1,5.04,11.35,14.64,33.14
18,Team1,0.17,1.95,15.59,15.59
19,Team1,4.11,10.01,24.68,34.03
20,Team2,104.63,14.23,17.41,34.92
21,Team1,4.05,12.14,20.24,34.83
22,Team1,2.03,14.03,20.27,28.94
23,Unassigned,0.00,0.00,0.00,0.00
24,Team1,0.35,3.53,15.90,19.49
